id         +project            + date +   click
316950238  http://kck.st/1CmJEaz 2015-07-14 0
316950238  http://kck.st/1CmJEaz 2015-07-13 0
316950238  http://kck.st/1CmJEaz 2015-07-12 0
316950238  http://kck.st/1CmJEaz 2015-07-11 1
316950238  http://kck.st/1CmJEaz 2015-07-10 0
316950238  http://kck.st/1CmJEaz 2015-07-09 0
316950238  http://kck.st/1CmJEaz 2015-07-08 0
316950238  http://kck.st/1CmJEaz 2015-07-07 0
316950238  http://kck.st/1CmJEaz 2015-07-06 0
316950238  http://kck.st/1CmJEaz 2015-07-05 0
316950238  http://kck.st/1CmJEaz 2015-07-04 0
316950238  http://kck.st/1CmJEaz 2015-07-03 0
316950238  http://kck.st/1CmJEaz 2015-07-02 0
316950238  http://kck.st/1CmJEaz 2015-07-01 0
316950238  http://kck.st/1CmJEaz 2015-06-30 0
316950238  http://kck.st/1CmJEaz 2015-06-29 0
316950238  http://kck.st/1CmJEaz 2015-06-28 0
316950238  http://kck.st/1CmJEaz 2015-06-27 0
316950238  http://kck.st/1CmJEaz 2015-06-26 0
316950238  http://kck.st/1CmJEaz 2015-06-25 1
316950238  http://kck.st/1CmJEaz 2015-06-24 0
316950238  http://kck.st/1CmJEaz 2015-06-23 0
316950238  http://kck.st/1CmJEaz 2015-06-22 0
316950238  http://kck.st/1CmJEaz 2015-06-21 0
316950238  http://kck.st/1CmJEaz 2015-06-20 0
316950238  http://kck.st/1CmJEaz 2015-06-19 0
316950238  http://kck.st/1CmJEaz 2015-06-18 0
316950238  http://kck.st/1CmJEaz 2015-06-17 0
316950238  http://kck.st/1CmJEaz 2015-06-16 0
316950238  http://kck.st/1CmJEaz 2015-06-15 0
316950238  http://kck.st/1CmJEaz 2015-06-14 0
316950238  http://kck.st/1CmJEaz 2015-06-13 0
316950238  http://kck.st/1CmJEaz 2015-06-12 1
316950238  http://kck.st/1CmJEaz 2015-06-11 1
316950238  http://kck.st/1CmJEaz 2015-06-10 0
316950238  http://kck.st/1CmJEaz 2015-06-09 1
316950238  http://kck.st/1CmJEaz 2015-06-08 0
316950238  http://kck.st/1CmJEaz 2015-06-07 1
316950238  http://kck.st/1CmJEaz 2015-06-06 0
316950238  http://kck.st/1CmJEaz 2015-06-05 0
316950238  http://kck.st/1CmJEaz 2015-06-04 0
316950238  http://kck.st/1CmJEaz 2015-06-03 0
316950238  http://kck.st/1CmJEaz 2015-06-02 0
316950238  http://kck.st/1CmJEaz 2015-06-01 0
316950238  http://kck.st/1CmJEaz 2015-05-31 0
316950238  http://kck.st/1CmJEaz 2015-05-30 0
316950238  http://kck.st/1CmJEaz 2015-05-29 0
316950238  http://kck.st/1CmJEaz 2015-05-28 0
316950238  http://kck.st/1CmJEaz 2015-05-27 0
316950238  http://kck.st/1CmJEaz 2015-05-26 0
316950238  http://kck.st/1CmJEaz 2015-05-25 0
316950238  http://kck.st/1CmJEaz 2015-05-24 0
316950238  http://kck.st/1CmJEaz 2015-05-23 0
316950238  http://kck.st/1CmJEaz 2015-05-22 1
316950238  http://kck.st/1CmJEaz 2015-05-21 1
316950238  http://kck.st/1CmJEaz 2015-05-20 0
316950238  http://kck.st/1CmJEaz 2015-05-19 0
316950238  http://kck.st/1CmJEaz 2015-05-18 0
316950238  http://kck.st/1CmJEaz 2015-05-17 0
316950238  http://kck.st/1CmJEaz 2015-05-16 0
316950238  http://kck.st/1CmJEaz 2015-05-15 0
316950238  http://kck.st/1CmJEaz 2015-05-14 0
316950238  http://kck.st/1CmJEaz 2015-05-13 0
316950238  http://kck.st/1CmJEaz 2015-05-12 0
316950238  http://kck.st/1CmJEaz 2015-05-11 0
316950238  http://kck.st/1CmJEaz 2015-05-10 0
316950238  http://kck.st/1CmJEaz 2015-05-09 0
316950238  http://kck.st/1CmJEaz 2015-05-08 1
316950238  http://kck.st/1CmJEaz 2015-05-07 0
316950238  http://kck.st/1CmJEaz 2015-05-06 0
316950238  http://kck.st/1CmJEaz 2015-05-05 0
316950238  http://kck.st/1CmJEaz 2015-05-04 0
316950238  http://kck.st/1CmJEaz 2015-05-03 0
316950238  http://kck.st/1CmJEaz 2015-05-02 0
316950238  http://kck.st/1CmJEaz 2015-05-01 1
316950238  http://kck.st/1CmJEaz 2015-04-30 0
316950238  http://kck.st/1CmJEaz 2015-04-29 0
316950238  http://kck.st/1CmJEaz 2015-04-28 1
316950238  http://kck.st/1CmJEaz 2015-04-27 0
316950238  http://kck.st/1CmJEaz 2015-04-26 0
316950238  http://kck.st/1CmJEaz 2015-04-25 2
316950238  http://kck.st/1CmJEaz 2015-04-24 0
316950238  http://kck.st/1CmJEaz 2015-04-23 0
316950238  http://kck.st/1CmJEaz 2015-04-22 0
316950238  http://kck.st/1CmJEaz 2015-04-21 0
316950238  http://kck.st/1CmJEaz 2015-04-20 1
316950238  http://kck.st/1CmJEaz 2015-04-19 0
316950238  http://kck.st/1CmJEaz 2015-04-18 0
316950238  http://kck.st/1CmJEaz 2015-04-17 0
316950238  http://kck.st/1CmJEaz 2015-04-16 0
316950238  http://kck.st/1CmJEaz 2015-04-15 1
316950238  http://kck.st/1CmJEaz 2015-04-14 1
316950238  http://kck.st/1CmJEaz 2015-04-13 1
316950238  http://kck.st/1CmJEaz 2015-04-12 1
316950238  http://kck.st/1CmJEaz 2015-04-11 0
316950238  http://kck.st/1CmJEaz 2015-04-10 0
316950238  http://kck.st/1CmJEaz 2015-04-09 1
316950238  http://kck.st/1CmJEaz 2015-04-08 0
316950238  http://kck.st/1CmJEaz 2015-04-07 0
316950238  http://kck.st/1CmJEaz 2015-04-06 0
316950238  http://kck.st/1CmJEaz 2015-04-05 1
316950238  http://kck.st/1CmJEaz 2015-04-04 1
316950238  http://kck.st/1CmJEaz 2015-04-03 1
316950238  http://kck.st/1CmJEaz 2015-04-02 2
316950238  http://kck.st/1CmJEaz 2015-04-01 0
316950238  http://kck.st/1CmJEaz 2015-03-31 1
316950238  http://kck.st/1CmJEaz 2015-03-30 3
316950238  http://kck.st/1CmJEaz 2015-03-29 1
316950238  http://kck.st/1CmJEaz 2015-03-28 6
316950238  http://kck.st/1CmJEaz 2015-03-27 7
316950238  http://kck.st/1CmJEaz 2015-03-26 1
316950238  http://kck.st/1CmJEaz 2015-03-25 2
316950238  http://kck.st/1CmJEaz 2015-03-24 6
316950238  http://kck.st/1CmJEaz 2015-03-23 14
316950238  http://kck.st/1CmJEaz 2015-03-22 5
316950238  http://kck.st/1CmJEaz 2015-03-21 5
316950238  http://kck.st/1CmJEaz 2015-03-20 2
316950238  http://kck.st/1CmJEaz 2015-03-19 2
316950238  http://kck.st/1CmJEaz 2015-03-18 8
316950238  http://kck.st/1CmJEaz 2015-03-17 59
316950238  http://kck.st/1CmJEaz 2015-03-16 157
316950238  http://kck.st/1CmJEaz 2015-03-15 0
316950238  http://kck.st/1CmJEaz 2015-03-14 0
316950238  http://kck.st/1CmJEaz 2015-03-13 0
316950238  http://kck.st/1CmJEaz 2015-03-12 0
316950238  http://kck.st/1CmJEaz 2015-03-11 0
316950238  http://kck.st/1CmJEaz 2015-03-10 0
316950238  http://kck.st/1CmJEaz 2015-03-09 0
316950238  http://kck.st/1CmJEaz 2015-03-08 0
316950238  http://kck.st/1CmJEaz 2015-03-07 0
