id         +project            + date +   click
128259443  http://kck.st/1O15ell 2015-08-09 0
128259443  http://kck.st/1O15ell 2015-08-08 0
128259443  http://kck.st/1O15ell 2015-08-07 1
128259443  http://kck.st/1O15ell 2015-08-06 0
128259443  http://kck.st/1O15ell 2015-08-05 0
128259443  http://kck.st/1O15ell 2015-08-04 0
128259443  http://kck.st/1O15ell 2015-08-03 0
128259443  http://kck.st/1O15ell 2015-08-02 0
128259443  http://kck.st/1O15ell 2015-08-01 0
128259443  http://kck.st/1O15ell 2015-07-31 0
128259443  http://kck.st/1O15ell 2015-07-30 0
128259443  http://kck.st/1O15ell 2015-07-29 0
128259443  http://kck.st/1O15ell 2015-07-28 0
128259443  http://kck.st/1O15ell 2015-07-27 0
128259443  http://kck.st/1O15ell 2015-07-26 0
128259443  http://kck.st/1O15ell 2015-07-25 0
128259443  http://kck.st/1O15ell 2015-07-24 0
128259443  http://kck.st/1O15ell 2015-07-23 0
128259443  http://kck.st/1O15ell 2015-07-22 0
128259443  http://kck.st/1O15ell 2015-07-21 0
128259443  http://kck.st/1O15ell 2015-07-20 0
128259443  http://kck.st/1O15ell 2015-07-19 0
128259443  http://kck.st/1O15ell 2015-07-18 0
128259443  http://kck.st/1O15ell 2015-07-17 0
128259443  http://kck.st/1O15ell 2015-07-16 0
128259443  http://kck.st/1O15ell 2015-07-15 0
128259443  http://kck.st/1O15ell 2015-07-14 0
128259443  http://kck.st/1O15ell 2015-07-13 0
128259443  http://kck.st/1O15ell 2015-07-12 0
128259443  http://kck.st/1O15ell 2015-07-11 0
128259443  http://kck.st/1O15ell 2015-07-10 0
128259443  http://kck.st/1O15ell 2015-07-09 0
128259443  http://kck.st/1O15ell 2015-07-08 0
128259443  http://kck.st/1O15ell 2015-07-07 0
128259443  http://kck.st/1O15ell 2015-07-06 0
128259443  http://kck.st/1O15ell 2015-07-05 0
128259443  http://kck.st/1O15ell 2015-07-04 0
128259443  http://kck.st/1O15ell 2015-07-03 0
128259443  http://kck.st/1O15ell 2015-07-02 0
128259443  http://kck.st/1O15ell 2015-07-01 0
128259443  http://kck.st/1O15ell 2015-06-30 0
128259443  http://kck.st/1O15ell 2015-06-29 0
128259443  http://kck.st/1O15ell 2015-06-28 0
128259443  http://kck.st/1O15ell 2015-06-27 0
128259443  http://kck.st/1O15ell 2015-06-26 0
128259443  http://kck.st/1O15ell 2015-06-25 0
128259443  http://kck.st/1O15ell 2015-06-24 0
128259443  http://kck.st/1O15ell 2015-06-23 0
128259443  http://kck.st/1O15ell 2015-06-22 0
128259443  http://kck.st/1O15ell 2015-06-21 0
128259443  http://kck.st/1O15ell 2015-06-20 0
128259443  http://kck.st/1O15ell 2015-06-19 0
128259443  http://kck.st/1O15ell 2015-06-18 0
128259443  http://kck.st/1O15ell 2015-06-17 0
128259443  http://kck.st/1O15ell 2015-06-16 0
128259443  http://kck.st/1O15ell 2015-06-15 0
128259443  http://kck.st/1O15ell 2015-06-14 0
128259443  http://kck.st/1O15ell 2015-06-13 0
128259443  http://kck.st/1O15ell 2015-06-12 0
128259443  http://kck.st/1O15ell 2015-06-11 0
128259443  http://kck.st/1O15ell 2015-06-10 0
128259443  http://kck.st/1O15ell 2015-06-09 0
128259443  http://kck.st/1O15ell 2015-06-08 0
128259443  http://kck.st/1O15ell 2015-06-07 0
128259443  http://kck.st/1O15ell 2015-06-06 0
128259443  http://kck.st/1O15ell 2015-06-05 0
128259443  http://kck.st/1O15ell 2015-06-04 0
128259443  http://kck.st/1O15ell 2015-06-03 1
128259443  http://kck.st/1O15ell 2015-06-02 0
128259443  http://kck.st/1O15ell 2015-06-01 0
128259443  http://kck.st/1O15ell 2015-05-31 0
128259443  http://kck.st/1O15ell 2015-05-30 0
128259443  http://kck.st/1O15ell 2015-05-29 0
128259443  http://kck.st/1O15ell 2015-05-28 0
128259443  http://kck.st/1O15ell 2015-05-27 0
128259443  http://kck.st/1O15ell 2015-05-26 0
128259443  http://kck.st/1O15ell 2015-05-25 0
128259443  http://kck.st/1O15ell 2015-05-24 0
128259443  http://kck.st/1O15ell 2015-05-23 1
128259443  http://kck.st/1O15ell 2015-05-22 0
128259443  http://kck.st/1O15ell 2015-05-21 1
128259443  http://kck.st/1O15ell 2015-05-20 1
128259443  http://kck.st/1O15ell 2015-05-19 0
128259443  http://kck.st/1O15ell 2015-05-18 0
128259443  http://kck.st/1O15ell 2015-05-17 0
128259443  http://kck.st/1O15ell 2015-05-16 0
